age,CH4
398000,668.0
397000,668.0
396000,651.7637917637918
395000,594.511287625418
394000,591.5848662207358
393000,588.6584448160535
392000,584.8152101400934
391000,612.8338892595063
390000,637.7904624277456
389000,662.356936416185
388000,621.7257281553398
387000,550.8798235942668
386000,637.2569974554707
385000,505.5573979591837
384000,427.55974264705884
383000,404.58180147058823
382000,380.4021909233177
381000,359.59760956175296
380000,350.42314990512335
379000,378.8861480075901
378000,360.08088235294116
377000,363.7434750186428
376000,387.2073170731707
375000,394.21296296296293
374000,379.4646464646465
373000,363.19
372000,437.3333333333333
371000,406.2
370000,435.3048128342246
369000,466.6240126382306
368000,409.5814889336016
367000,458.8995695839311
366000,529.244019138756
365000,503.41052631578947
364000,450.62204724409446
363000,439.1807387862797
362000,492.8038147138965
361000,517.3269754768393
360000,446.5543386689132
359000,467.1829573934837
358000,529.3360655737705
357000,454.72703751617075
356000,427.48904593639577
355000,412.78582930756846
354000,408.0679785330948
353000,436.690518783542
352000,465.31305903398925
351000,481.62257792754843
350000,497.62931760741367
349000,495.86486486486484
348000,482.35135135135135
347000,496.5589622641509
346000,514.6755753526355
345000,519.8723088344469
344000,525.0690423162583
343000,510.74459272894615
342000,471.16797054763
341000,437.63310123192286
340000,421.02892340653455
339000,411.60060667340747
338000,413.1172901921133
337000,414.1979166666667
336000,414.6714015151515
335000,417.8968609865471
334000,427.3637269556552
333000,432.9298496778812
332000,429.3507516105941
331000,425.7716535433071
330000,430.8161969035331
329000,444.31361651448987
328000,457.8110361254466
327000,442.95476839237057
326000,431.9189833200953
325000,444.62748212867353
324000,457.3359809372518
323000,436.81432360742707
322000,404.12264150943395
321000,421.10377358490564
320000,438.1386929948284
319000,465.87729196050776
318000,493.6158909261871
317000,521.4880883207437
316000,548.6879194630873
315000,572.1778523489933
314000,590.6893830703013
313000,544.060975609756
312000,488.2546296296296
311000,428.06944444444446
310000,419.2134146341463
309000,427.1241408934708
308000,443.01761168384877
307000,452.2737430167598
306000,446.68715083798884
305000,435.5518058022499
304000,413.6453522794553
303000,406.41972920696327
302000,410.1841255191509
301000,442.0253807106599
300000,473.8666359021689
299000,486.7859266600595
298000,516.5177304964539
297000,500.3143227478937
296000,543.0881399870382
295000,569.9694323144105
294000,587.4366812227074
293000,485.8276515151515
292000,450.87810945273634
291000,459.4957221942627
290000,467.95098039215685
289000,459.781045751634
288000,451.6111111111111
287000,445.5022381378693
286000,475.6734693877551
285000,496.05032822757113
284000,487.82608695652175
283000,545.8736059479554
282000,544.9552572706936
281000,570.1739130434783
280000,573.1800643086817
279000,596.7662337662338
278000,595.876923076923
277000,616.2089552238806
276000,598.6173633440515
275000,621.6812749003984
274000,637.1450777202073
273000,641.7608695652174
272000,637.8651685393259
271000,699.1578947368421
270000,582.752
269000,530.7007299270073
268000,480.6683417085427
267000,450.0809061488673
266000,435.84142394822004
265000,406.752009184845
264000,352.1780303030303
263000,364.87865497076024
262000,363.52724795640324
261000,329.86703601108036
260000,318.3557692307692
259000,318.9567307692308
258000,336.8725925925926
257000,347.25957779515244
256000,351.16888193901485
255000,355.00713266761767
254000,355.36376604850216
253000,355.7203994293866
252000,361.3333333333333
251000,386.0246913580247
250000,409.3
249000,412.70234113712377
248000,384.6299504950495
247000,419.9330954504906
246000,422.7774140752864
245000,386.31799163179915
244000,378.27777777777777
243000,405.44632768361583
242000,403.56308851224105
241000,380.5113350125945
240000,377.992443324937
239000,377.89110764430575
238000,386.93946957878313
237000,395.9878315132605
236000,405.02629272567924
235000,411.5994741454864
234000,418.1726555652936
233000,430.5005015045135
232000,445.04413239719156
231000,459.5877632898696
230000,474.13139418254764
229000,473.1507507507508
228000,466.5441441441441
227000,459.93753753753754
226000,442.3050847457627
225000,408.40677966101697
224000,444.78657074340526
223000,474.3022508038585
222000,485.55627009646304
221000,496.8102893890675
220000,506.835800807537
219000,515.3598026020637
218000,508.3493077742279
217000,465.03359804520466
216000,468.69883934025654
215000,485.10538641686185
214000,508.5245901639344
213000,481.4864232209738
212000,451.05571161048687
211000,443.125
210000,440.78417602996257
209000,429.9593495934959
208000,414.86062717770034
207000,423.49605954465846
206000,433.56611208406304
205000,443.6361646234676
204000,453.7062171628722
203000,470.0218161985274
202000,496.7466593946005
201000,523.4715025906736
200000,550.1963457867466
199000,571.0931506849315
198000,589.586301369863
197000,608.0794520547945
196000,562.5359729599228
195000,499.764365041043
194000,434.7526011560694
193000,429.1056511056511
192000,463.27653631284915
191000,495.015625
190000,482.51063829787233
189000,475.3854961832061
188000,504.8285714285714
187000,578.9403409090909
186000,545.2586206896551
185000,578.609375
184000,558.0787401574803
183000,574.2088167053364
182000,553.2666666666667
181000,459.22352941176473
180000,446.20810514786416
179000,473.3841961852861
178000,480.00975609756097
177000,485.4591381872214
176000,497.2704918032787
175000,532.0
174000,517.3754940711462
173000,492.1753846153846
172000,479.5983935742972
171000,444.6605374823197
170000,442.53889674681756
169000,440.41725601131543
168000,448.751048951049
167000,495.112
166000,510.8167938931298
165000,540.2625
164000,546.952380952381
163000,575.5256916996047
162000,605.0048701298701
161000,639.641095890411
160000,551.0196078431372
159000,505.45454545454544
158000,471.2043596730245
157000,506.62670299727523
156000,446.2132075471698
155000,424.1903881700554
154000,396.291935483871
153000,390.5659609120521
152000,402.5983493810179
151000,420.79289026275114
150000,447.5348837209302
149000,465.7023977433004
148000,443.5439093484419
147000,413.0316265060241
146000,509.84656652360513
145000,478.7158836689038
144000,413.09321401938854
143000,407.529702970297
142000,396.49074074074076
141000,435.22
140000,448.70998632010946
139000,427.2054794520548
138000,449.72759856630825
137000,450.93939393939394
136000,442.75
135000,441.9498806682578
134000,440.3434099153567
133000,424.62394195888754
132000,436.3528183716075
131000,436.89397590361443
130000,447.9445
129000,469.4445
128000,482.338619802829
127000,477.19502786112304
126000,472.05143591941703
125000,496.870900209351
124000,513.8172323759791
123000,518.8624849215922
122000,510.42384105960264
121000,430.0
120000,430.0
119000,442.69504310344826
118000,470.35308908045977
117000,498.0111350574713
116000,482.10720411663806
115000,467.36467131839885
114000,473.97502754315093
113000,480.58538376790307
112000,501.1941391941392
111000,506.275
110000,442.79411764705884
109000,435.47330960854094
108000,446.39495798319325
107000,465.827731092437
106000,455.2214983713355
105000,441.8430296377607
104000,466.2768549280177
103000,462.83383323335335
102000,460.4343131373725
101000,485.2143671607754
100000,486.01670146137786
99000,516.562827225131
98000,542.4517647058824
97000,572.9605399792316
96000,581.1050228310502
95000,576.1563981042653
94000,439.6286509040334
93000,455.43057324840765
92000,475.4864864864865
91000,478.0
90000,482.6594427244582
89000,487.81940144478847
88000,523.2167300380228
87000,567.6822742474916
86000,572.0805687203791
85000,609.035046728972
84000,620.719275549806
83000,622.5386702849389
82000,633.90625
81000,633.8131868131868
80000,638.9260918253079
79000,628.0154738878143
78000,604.0
77000,640.5440771349862
76000,741.7083969465649
75000,627.7621776504297
74000,581.1179775280899
73000,567.957805907173
72000,539.871186440678
71000,518.7445482866044
70000,480.36
69000,455.2061855670103
68000,453.6724220623501
67000,457.02973621103115
66000,410.81693363844397
65000,373.6607538802661
64000,380.31263858093126
63000,367.3659628918746
62000,342.6822358346095
61000,363.3560490045942
60000,389.3867724867725
59000,417.42910052910054
58000,407.14904187366926
57000,410.55383532723437
56000,441.85483870967744
55000,421.1175115207373
54000,401.6354319180088
53000,385.5300146412884
52000,392.39628893306826
51000,396.2185089974293
50000,391.71979434447303
49000,388.3733583489681
48000,386.87795992714024
47000,390.5209471766849
46000,389.525
45000,385.35833333333335
44000,389.38912579957355
43000,397.38486140724945
42000,398.45393258426964
41000,404.07369498464686
40000,433.75639713408395
39000,447.14747474747475
38000,425.5986531986532
37000,403.79234972677597
36000,387.2347616173808
35000,393.8732649366325
34000,407.76453488372096
33000,428.11337209302326
32000,445.10292580982235
31000,461.29937304075236
30000,496.4001382170007
29000,480.2948061448427
28000,406.04741379310343
27000,418.9784482758621
26000,431.9094827586207
25000,463.8269230769231
24000,486.6700774336283
23000,497.4554756637168
22000,508.2408738938053
21000,519.0262721238938
20000,477.9403606102635
19000,458.39959738298944
18000,494.13185707096125
17000,521.2678851174935
16000,534.844908616188
15000,554.3123644251627
14000,577.3937538273117
13000,570.657685241886
12000,562.0161213845424
11000,551.1104788999526
10000,524.9190600522193
9000,470.08877284595303
8000,441.0951612903226
7000,445.93387096774194
6000,455.8385772913817
5000,469.5184678522572
4000,491.1665062560154
3000,525.8152069297402
2000,553.8614810868407
1000,566.647842301545
0,572.0973698936765
